TZ_CODE11,TZ_NAME11,SA2_11,SA2_NAME11,SA3_11,SA3_NAME11,SA4_11,SA4_NAME11,GSC District,LGA 2011 NAME,Precinct (Oct 16),ERP_2011,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056
900,Ashfield_Frederick St and Henry St,120031390,Ashfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),3375.00,3424.30,3456.40,3469.48,3487.53,3509.04,3671.64,3823.51,3917.87,4116.82
901,Ashfield_Chandos St and Loftus St,120031390,Ashfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),3481.00,3865.82,3902.31,3927.42,3964.85,4010.53,4142.02,4231.12,4298.40,4515.50
902,Ashfield Station_North,120031390,Ashfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield,4103.00,4425.77,4488.38,4521.20,4568.33,4625.03,4732.76,4793.99,4863.63,5109.73
903,Ashfield Park,120031390,Ashfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield,1737.00,1949.65,1998.03,2043.99,2112.46,2192.26,2316.50,2346.23,2378.00,2501.85
904,Ashfield Station_South,120031390,Ashfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield,2762.18,3151.99,4212.64,4619.24,5058.40,5327.75,6098.54,6881.74,8023.30,8542.04
905,Ashfield,120031390,Ashfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),3155.00,3203.86,3227.55,3239.39,3256.26,3276.49,3325.86,3366.17,3409.07,3579.41
906,Masonic Hospital,120031390,Ashfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield,3359.03,3505.51,3652.86,3687.35,3726.27,3766.29,3976.14,4229.61,4536.53,4784.80
907,Canterbury Boys High School,120031390,Ashfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),2106.79,2069.93,2089.29,2091.87,2093.81,2095.20,2174.32,2266.06,2338.44,2456.97
949,Dobroyd Pt Primary School,120031395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),1607.00,1646.27,1649.18,1649.98,1650.85,1651.58,1746.23,1859.80,1950.13,2051.61
950,Haberfield,120031395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),2665.00,2412.49,2414.79,2415.77,2417.10,2418.62,2719.48,3042.51,3223.09,3393.34
951,Haberfield_Marion St and Ramsay Rd,120031395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),2739.00,2666.99,2667.09,2666.99,2666.87,2666.82,2915.95,3184.89,3334.43,3507.63
952,Summer Hill Station_North,120031395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),2466.00,2650.99,2706.00,2724.26,2747.82,2774.39,2987.74,3202.93,3353.48,3530.04
953,Summer Hill Station_South,120031395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),345.30,546.31,594.82,600.19,603.47,605.41,632.71,674.61,729.96,770.34
954,Allied Mills,120031395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield (Rem),1591.30,1476.22,2146.52,2219.45,2262.93,2288.08,2501.12,2774.06,3088.64,3273.33
955,Summer Hill_Henson St and Junction Rd,120031395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,Central,Ashfield (A),Ashfield,2552.40,2640.89,2678.54,2684.82,2690.59,2695.57,2743.07,2791.92,2829.19,2969.30
1300,Auburn_Parramatta Rd and Rawson St,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Parramatta Rd,48.15,46.00,46.00,46.00,45.99,45.95,45.95,78.61,135.85,289.48
1301,Auburn_Domayne,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Parramatta Rd,101.85,46.00,46.03,46.02,45.99,45.96,45.96,55.21,71.43,114.95
1302,Clyde Marshalling Areas,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn (C) (REM),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1303,Auburn Girls High School,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Parramatta Rd,1939.00,2142.06,2163.55,2173.04,2183.72,2197.03,2228.22,2374.53,2624.30,3177.59
1304,Auburn_McDonalds,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Parramatta Rd,2193.00,2497.07,2498.64,2498.22,2496.60,2494.86,2494.52,2516.39,2559.82,2675.46
1305,Auburn_Bardo Park,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn (C) (REM),2859.00,3315.24,3417.37,3518.97,3653.06,3821.30,4226.60,4858.88,5503.21,5683.97
1306,Auburn Station_North,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn,3326.00,3933.86,5264.25,5674.37,6071.89,6525.18,7138.27,7898.89,8616.19,8652.83
1307,Auburn_Mona Pk,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn (C) (REM),3514.21,3937.10,4050.09,4060.61,4062.23,4061.47,4061.92,4153.63,4340.66,4841.22
1308,St Josephs Hospital,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn (C) (REM),2488.25,2527.91,3585.17,3844.28,4067.59,4309.43,4524.81,4800.80,5129.23,5539.33
1309,Auburn Station_South,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn,3062.61,3847.24,5728.26,7174.73,8811.06,10772.78,12804.75,14826.68,16462.83,16456.32
1310,Auburn Botanic Gardens,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn (C) (REM),3049.20,3226.09,3339.60,3375.23,3408.32,3446.18,3522.98,3709.20,3971.63,4397.94
1311,Auburn Hospital District Hospital,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn (C) (REM),4312.14,4546.48,4797.87,4962.37,5141.40,5354.09,5782.64,6483.87,7258.56,7808.48
1312,Auburn,125011472,Auburn,12501,Auburn,125,Sydney - Parramatta,West Central,Auburn (C),Auburn (C) (REM),1653.02,1925.14,2029.78,2040.21,2043.18,2044.03,2044.95,2104.90,2227.46,2555.28
