,Area,Latitude,Longitude
0,"Ashfield, NSW, Australia",-33.8894781,151.1274125
1," Summer Hill, NSW, Australia",-33.8933952,151.1368729
2,"Auburn, NSW, Australia",-33.8545702,151.0255673
3," Silverwater, NSW, Australia",-33.834881,151.0471218
4," Regents Park, NSW, Australia",-33.8820048,151.02569
5,"Rookwood Cemetery, NSW, Australia",-33.87443545,151.0558908
6," Sefton, NSW, Australia",-33.8873088,151.0106256
7,"Bankstown, NSW, Australia",-33.9171897,151.0335881
8," Georges Hall, NSW, Australia",-33.9101113,150.9879924
9,"Chullora, NSW, Australia",-33.8925,151.0477778
10,"Condell Park, NSW, Australia",-33.9227852,151.0113144
11," Mount Lewis, NSW, Australia",-33.9156089,151.0499433
12,"Padstow, NSW, Australia",-33.9487767,151.030116
13," Picnic Point, NSW, Australia",-33.9709556,151.0072387
14,"Revesby, NSW, Australia",-33.9436876,151.0137191
15," Birrong, NSW, Australia",-33.8918622,151.0201957
16,"Glenwood, NSW, Australia",-33.7331483,150.928232
17," Kellyville Ridge, NSW, Australia",-33.7025,150.9186111
18," Acacia Gardens, NSW, Australia",-33.7324595,150.9125321
19," Marsden Park, NSW, Australia",-33.6956552,150.8147975
20," Emerton, NSW, Australia",-33.7477024,150.8043608
21," Plumpton, NSW, Australia",-33.7566667,150.8427778
22," Tregear, NSW, Australia",-33.7486957,150.7957569
23," Whalan, NSW, Australia",-33.7566667,150.8094444
24,"Prospect Reservoir, NSW, Australia",-33.8212526,150.8956962
25," Minchinbury, NSW, Australia",-33.7866731,150.8272222
26," Kings Park, NSW, Australia",-33.7433333,150.9086111
27," Marayong, NSW, Australia",-33.7491667,150.8919444
28,"Blacktown (South), NSW, Australia",-33.7401885,150.8648355
29," Woodcroft, NSW, Australia",-33.7586111,150.8783333
30," Kings Langley, NSW, Australia",-33.7505506,150.9372174
31," Toongabbie, NSW, Australia",-33.7866894,150.9526498
32," Megalong Valley, NSW, Australia",-33.719116,150.2462925
33," Lapstone, NSW, Australia",-33.7743436,150.641574
34," North, NSW, Australia",-11.3299555,-67.6954911
35," Leura, NSW, Australia",-33.7156888,150.3317665
36," Linden, NSW, Australia",-33.7182843,150.5050533
37," Winmalee, NSW, Australia",-33.6799328,150.6082625
38,"Wentworth Falls, NSW, Australia",-33.7156389,150.3697595
39,"Banksmeadow, NSW, Australia",-33.9542459,151.2157073
40,"Botany, NSW, Australia",-33.947829,151.1990644
41," Eastlakes, NSW, Australia",-33.9310733,151.2113667
42," Daceyville, NSW, Australia",-33.9289328,151.2251839
43,"Sydney Airport, NSW, Australia",-33.9498935,151.1819682
44," Croydon, NSW, Australia",-33.8777935,151.1156502
45," Enfield, NSW, Australia",-33.8900628,151.0959145
