,Area,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,"Ashfield, NSW, Australia",-33.889478100000005,151.1274125,9,3,0,43,6,11,18,7,29,4
1," Summer Hill, NSW, Australia",-33.89339520000001,151.13687290000001,9,2,0,31,4,12,15,7,20,10
2,"Auburn, NSW, Australia",-33.854570200000005,151.0255673,1,7,0,19,2,7,9,3,16,4
3," Silverwater, NSW, Australia",-33.834881,151.0471218,3,1,0,27,0,4,18,1,13,8
4," Regents Park, NSW, Australia",-33.8820048,151.02569,1,2,0,6,1,3,4,1,3,3
5,"Rookwood Cemetery, NSW, Australia",-33.87443545,151.05589080000001,0,1,0,3,0,2,2,0,2,0
6," Sefton, NSW, Australia",-33.8873088,151.0106256,1,1,0,5,2,4,2,1,5,2
7,"Bankstown, NSW, Australia",-33.91718970000001,151.0335881,4,5,0,36,5,7,28,2,42,5
8," Georges Hall, NSW, Australia",-33.9101113,150.98799240000002,1,7,0,5,0,5,2,0,4,5
9,"Chullora, NSW, Australia",-33.8925,151.0477778,0,1,0,6,1,4,7,0,9,3
10,"Condell Park, NSW, Australia",-33.9227852,151.0113144,1,1,0,5,1,4,5,1,4,1
11," Mount Lewis, NSW, Australia",-33.915608899999995,151.04994330000002,0,5,0,5,1,4,6,0,10,3
12,"Padstow, NSW, Australia",-33.9487767,151.030116,2,4,0,15,2,3,3,2,10,5
13," Picnic Point, NSW, Australia",-33.9709556,151.0072387,0,0,0,6,0,8,4,1,4,0
14,"Revesby, NSW, Australia",-33.9436876,151.01371909999997,1,3,0,20,2,1,9,0,7,4
15," Birrong, NSW, Australia",-33.891862200000006,151.0201957,1,0,0,5,2,4,2,1,3,2
16,"Glenwood, NSW, Australia",-33.733148299999996,150.928232,1,5,0,5,0,6,6,0,6,6
17," Kellyville Ridge, NSW, Australia",-33.7025,150.9186111,0,1,0,4,1,3,6,0,15,3
18," Acacia Gardens, NSW, Australia",-33.7324595,150.9125321,0,1,0,8,0,4,3,0,6,3
19," Marsden Park, NSW, Australia",-33.695655200000004,150.8147975,0,0,0,1,0,1,0,1,5,0
20," Emerton, NSW, Australia",-33.747702399999994,150.8043608,0,1,0,4,1,4,4,0,6,0
21," Plumpton, NSW, Australia",-33.756666700000004,150.84277780000002,0,3,0,1,0,2,3,0,2,3
22," Tregear, NSW, Australia",-33.748695700000006,150.79575690000001,0,1,0,2,0,2,5,0,4,0
23," Whalan, NSW, Australia",-33.756666700000004,150.80944440000002,0,1,0,0,1,4,8,0,6,1
24,"Prospect Reservoir, NSW, Australia",-33.8212526,150.89569619999997,0,0,0,1,1,1,0,0,3,0
25," Minchinbury, NSW, Australia",-33.7866731,150.8272222,0,1,0,5,0,3,4,1,9,1
26," Kings Park, NSW, Australia",-33.743333299999996,150.9086111,2,4,0,6,4,2,4,1,10,3
27," Marayong, NSW, Australia",-33.7491667,150.8919444,0,3,0,6,1,5,2,0,7,5
28,"Blacktown (South), NSW, Australia",-33.7401885,150.8648355,1,1,0,4,1,3,5,1,4,0
29," Woodcroft, NSW, Australia",-33.7586111,150.8783333,4,0,0,4,4,2,4,0,1,0
30," Kings Langley, NSW, Australia",-33.7505506,150.9372174,3,0,0,4,1,6,3,0,5,0
31," Toongabbie, NSW, Australia",-33.7866894,150.95264980000002,1,2,0,9,2,5,7,2,7,4
32," Megalong Valley, NSW, Australia",-33.719116,150.2462925,0,0,0,0,0,0,0,0,0,0
33," Lapstone, NSW, Australia",-33.7743436,150.641574,0,0,0,0,1,2,1,0,0,3
34," North, NSW, Australia",-11.329955499999999,-67.6954911,0,0,0,0,0,0,0,0,0,0
35," Leura, NSW, Australia",-33.715688799999995,150.33176650000001,6,1,0,21,4,4,4,1,18,3
36," Linden, NSW, Australia",-33.7182843,150.50505330000001,0,0,0,0,0,0,0,0,0,2
37," Winmalee, NSW, Australia",-33.679932799999996,150.6082625,0,1,0,2,0,4,4,0,5,0
38,"Wentworth Falls, NSW, Australia",-33.715638899999995,150.3697595,1,1,0,0,0,7,1,0,1,2
39,"Banksmeadow, NSW, Australia",-33.9542459,151.21570730000002,0,1,0,4,2,4,3,0,3,2
40,"Botany, NSW, Australia",-33.947829,151.1990644,2,2,0,17,5,7,15,2,7,2
41," Eastlakes, NSW, Australia",-33.931073299999994,151.21136669999999,0,3,0,5,1,2,7,1,9,5
42," Daceyville, NSW, Australia",-33.9289328,151.22518390000002,1,9,0,41,4,8,6,5,17,4
43,"Sydney Airport, NSW, Australia",-33.9498935,151.18196819999997,0,0,0,2,0,1,3,0,2,3
44," Croydon, NSW, Australia",-33.8777935,151.11565019999998,3,3,1,26,5,6,24,2,28,6
45," Enfield, NSW, Australia",-33.890062799999995,151.0959145,2,0,0,13,2,3,10,0,7,6
46," Ellis Lane, NSW, Australia",-34.034956,150.6732584,0,0,0,0,0,0,2,0,1,0
47," Harrington Park, NSW, Australia",-34.0247325,150.7422344,1,0,0,4,0,6,6,0,4,1
48," Currans Hill, NSW, Australia",-34.0463519,150.77124560000001,0,0,0,6,1,3,3,0,4,0
49," Leppington, NSW, Australia",-33.9543857,150.8080638,1,1,0,0,0,0,4,0,0,5
50," Wedderburn, NSW, Australia",-34.1483333,150.81777780000002,0,0,0,0,0,1,1,0,1,0
51," Raby, NSW, Australia",-34.0233333,150.81777780000002,0,4,0,6,1,3,5,0,3,0
52," Denham Court, NSW, Australia",-33.9813889,150.8294444,0,0,0,1,0,0,0,0,0,0
53," Minto Heights, NSW, Australia",-34.0379407,150.8715274,0,0,0,0,0,0,1,0,2,0
54," Glenfield, NSW, Australia",-33.9733455,150.8957217,1,1,0,4,0,3,4,0,4,4
55," St Andrews, NSW, Australia",-34.0208333,150.8305556,1,0,0,7,0,5,2,0,3,0
56," Glen Alpine, NSW, Australia",-34.09,150.7844444,1,2,0,5,1,6,4,0,4,0
57," Cabarita, NSW, Australia",-33.847502899999995,151.1158878,1,1,0,7,2,7,3,3,3,2
58," North Strathfield, NSW, Australia",-33.8588178,151.088578,3,3,0,36,4,6,23,7,11,7
59," Rodd Point, NSW, Australia",-33.8658359,151.143583,0,1,0,6,3,18,2,1,0,0
60," Abbotsford, NSW, Australia",-33.8505529,151.129759,3,1,0,13,2,5,3,5,8,7
61," Ashbury, NSW, Australia",-33.9001107,151.11807240000002,1,4,0,4,1,4,3,3,9,4
62," Belfield, NSW, Australia",-33.9045165,151.0860013,2,1,0,6,1,4,5,0,6,0
63," Campsie, NSW, Australia",-33.9143894,151.10321330000002,1,5,0,19,4,4,13,2,17,4
64," Earlwood, NSW, Australia",-33.9247222,151.1313889,1,2,0,12,3,4,5,1,6,10
65," Wiley Park, NSW, Australia",-33.923055600000005,151.06777780000002,2,3,0,14,2,3,3,1,12,3
66,"Punchbowl, NSW, Australia",-33.928717,151.05225910000001,1,2,0,9,3,6,4,0,4,2
67,"Roselands, NSW, Australia",-33.933994299999995,151.0765121,1,3,0,10,3,5,5,1,22,6
68," East, NSW, Australia",-33.6994925,151.0964945,11,4,2,35,4,11,27,4,54,10
